DiceID,Rank,Mark1,Mark2,Mark3,Mark4,Mark5,Mark6
Int,Int,Int,Int,Int,Int,Int,Int
111111,6,1,1,1,1,1,1
111112,5,1,1,1,1,1,2
111113,5,1,1,1,1,1,3
111114,5,1,1,1,1,1,4
111122,4,1,1,1,1,2,2
111123,4,1,1,1,1,2,3
111124,4,1,1,1,1,2,4
111133,4,1,1,1,1,3,3
111134,4,1,1,1,1,3,4
111144,4,1,1,1,1,4,4
111222,3,1,1,1,2,2,2
111223,3,1,1,1,2,2,3
111224,3,1,1,1,2,2,4
111233,3,1,1,1,2,3,3
111234,3,1,1,1,2,3,4
111244,3,1,1,1,2,4,4
111333,3,1,1,1,3,3,3
111334,3,1,1,1,3,3,4
111344,3,1,1,1,3,4,4
111444,3,1,1,1,4,4,4
112222,4,1,1,2,2,2,2
112223,3,1,1,2,2,2,3
112224,3,1,1,2,2,2,4
112233,2,1,1,2,2,3,3
112234,2,1,1,2,2,3,4
112244,2,1,1,2,2,4,4
112333,3,1,1,2,3,3,3
112334,2,1,1,2,3,3,4
112344,2,1,1,2,3,4,4
112444,3,1,1,2,4,4,4
113333,4,1,1,3,3,3,3
113334,3,1,1,3,3,3,4
113344,2,1,1,3,3,4,4
113444,3,1,1,3,4,4,4
114444,4,1,1,4,4,4,4
122222,5,1,2,2,2,2,2
122223,4,1,2,2,2,2,3
122224,4,1,2,2,2,2,4
122233,3,1,2,2,2,3,3
122234,3,1,2,2,2,3,4
122244,3,1,2,2,2,4,4
122333,3,1,2,2,3,3,3
122334,2,1,2,2,3,3,4
122344,2,1,2,2,3,4,4
122444,3,1,2,2,4,4,4
123333,4,1,2,3,3,3,3
123334,3,1,2,3,3,3,4
123344,2,1,2,3,3,4,4
123444,3,1,2,3,4,4,4
124444,4,1,2,4,4,4,4
133333,5,1,3,3,3,3,3
133334,4,1,3,3,3,3,4
133344,3,1,3,3,3,4,4
133444,3,1,3,3,4,4,4
134444,4,1,3,4,4,4,4
144444,5,1,4,4,4,4,4
222222,6,2,2,2,2,2,2
222223,5,2,2,2,2,2,3
222224,5,2,2,2,2,2,4
222233,4,2,2,2,2,3,3
222234,4,2,2,2,2,3,4
222244,4,2,2,2,2,4,4
222333,3,2,2,2,3,3,3
222334,3,2,2,2,3,3,4
222344,3,2,2,2,3,4,4
222444,3,2,2,2,4,4,4
223333,4,2,2,3,3,3,3
223334,3,2,2,3,3,3,4
223344,2,2,2,3,3,4,4
223444,3,2,2,3,4,4,4
224444,4,2,2,4,4,4,4
233333,5,2,3,3,3,3,3
233334,4,2,3,3,3,3,4
233344,3,2,3,3,3,4,4
233444,3,2,3,3,4,4,4
234444,4,2,3,4,4,4,4
244444,5,2,4,4,4,4,4
333333,6,3,3,3,3,3,3
333334,5,3,3,3,3,3,4
333344,4,3,3,3,3,4,4
333444,3,3,3,3,4,4,4
334444,4,3,3,4,4,4,4
344444,5,3,4,4,4,4,4
444444,6,4,4,4,4,4,4
